sk_tiempo,Fecha,Mes,Anio,Trimestre,DiaSemana,Temporada
312,2022-10-24,10,2022,4,2,2022/2023
313,2022-10-28,10,2022,4,6,2022/2023
314,2022-10-29,10,2022,4,7,2022/2023
315,2022-10-30,10,2022,4,1,2022/2023
316,2022-10-31,10,2022,4,2,2022/2023
317,2022-11-04,11,2022,4,6,2022/2023
318,2022-11-05,11,2022,4,7,2022/2023
319,2022-11-06,11,2022,4,1,2022/2023
320,2022-11-07,11,2022,4,2,2022/2023
321,2022-11-08,11,2022,4,3,2022/2023
322,2022-11-09,11,2022,4,4,2022/2023
323,2022-11-10,11,2022,4,5,2022/2023
324,2022-12-29,12,2022,4,5,2022/2023
325,2022-12-30,12,2022,4,6,2022/2023
326,2022-12-31,12,2022,4,7,2022/2023
327,2023-01-06,1,2023,1,6,2022/2023
328,2023-01-07,1,2023,1,7,2022/2023
329,2023-01-08,1,2023,1,1,2022/2023
330,2023-01-09,1,2023,1,2,2022/2023
331,2023-01-13,1,2023,1,6,2022/2023
332,2023-01-14,1,2023,1,7,2022/2023
333,2023-01-15,1,2023,1,1,2022/2023
334,2023-01-16,1,2023,1,2,2022/2023
335,2023-01-20,1,2023,1,6,2022/2023
336,2023-01-21,1,2023,1,7,2022/2023
337,2023-01-22,1,2023,1,1,2022/2023
338,2023-01-23,1,2023,1,2,2022/2023
339,2023-01-27,1,2023,1,6,2022/2023
340,2023-01-28,1,2023,1,7,2022/2023
341,2023-01-29,1,2023,1,1,2022/2023
342,2023-01-30,1,2023,1,2,2022/2023
343,2023-02-01,2,2023,1,4,2022/2023
344,2023-02-02,2,2023,1,5,2022/2023
345,2023-02-03,2,2023,1,6,2022/2023
346,2023-02-04,2,2023,1,7,2022/2023
347,2023-02-05,2,2023,1,1,2022/2023
348,2023-02-06,2,2023,1,2,2022/2023
349,2023-02-10,2,2023,1,6,2022/2023
350,2023-02-11,2,2023,1,7,2022/2023
351,2023-02-12,2,2023,1,1,2022/2023
352,2023-02-13,2,2023,1,2,2022/2023
353,2023-02-15,2,2023,1,4,2022/2023
354,2023-02-17,2,2023,1,6,2022/2023
355,2023-02-18,2,2023,1,7,2022/2023
356,2023-02-19,2,2023,1,1,2022/2023
357,2023-02-20,2,2023,1,2,2022/2023
358,2023-02-24,2,2023,1,6,2022/2023
359,2023-02-25,2,2023,1,7,2022/2023
360,2023-02-26,2,2023,1,1,2022/2023
361,2023-02-27,2,2023,1,2,2022/2023
362,2023-03-03,3,2023,1,6,2022/2023
363,2023-03-04,3,2023,1,7,2022/2023
364,2023-03-05,3,2023,1,1,2022/2023
365,2023-03-06,3,2023,1,2,2022/2023
366,2023-03-10,3,2023,1,6,2022/2023
367,2023-03-11,3,2023,1,7,2022/2023
368,2023-03-12,3,2023,1,1,2022/2023
369,2023-03-13,3,2023,1,2,2022/2023
370,2023-03-17,3,2023,1,6,2022/2023
371,2023-03-18,3,2023,1,7,2022/2023
372,2023-03-19,3,2023,1,1,2022/2023
373,2023-03-31,3,2023,1,6,2022/2023
374,2023-04-01,4,2023,2,7,2022/2023
375,2023-04-02,4,2023,2,1,2022/2023
376,2023-04-03,4,2023,2,2,2022/2023
377,2023-04-07,4,2023,2,6,2022/2023
378,2023-04-08,4,2023,2,7,2022/2023
379,2023-04-09,4,2023,2,1,2022/2023
380,2023-04-10,4,2023,2,2,2022/2023
381,2023-04-14,4,2023,2,6,2022/2023
382,2023-04-15,4,2023,2,7,2022/2023
